koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,is_exoplanet
0,0,0,0,34.193600311,155.2966351,0.625,5.41382,13714.8,21.95,778.0,86.74,1405.6,6129.0,3.991,1.786,1
0,0,0,0,5.014234733,133.174289,0.066,4.589,6536.0,10.63,1308.0,692.13,794.3,6490.0,4.32,1.307,1
0,1,0,0,10.810132734,132.95157,0.948,4.4618,6165.2,13.95,985.0,222.68,806.5,6211.0,4.269,1.284,0
0,1,1,1,4.618767792,133.386535,0.766,5.9957,4399.1,7.48,1170.0,442.78,270.1,6013.0,4.381,1.033,0
1,0,0,0,67.5923754,151.75056,0.728,12.249,4158.1,12.1,588.0,28.2,60.9,6038.0,4.082,1.744,1
0,0,0,0,3.024092505,132.4168573,0.424,2.8021,7765.0,12.14,1489.0,1162.54,1225.3,6063.0,4.261,1.358,1
0,1,0,0,15.663886949,147.395712,0.985,2.4775,5144.4,27.36,1060.0,298.77,175.9,5996.0,3.901,2.221,0
0,0,0,0,7.641567589,135.407564,0.027,3.41018,2269.7,4.91,899.0,154.25,437.5,5356.0,4.338,1.055,1
0,0,0,0,14.85890852,128.154869,0.255,3.5252,3269.0,5.94,720.0,63.52,456.8,5356.0,4.338,1.055,1
0,0,0,0,3.504691252,133.511941,0.741,1.9811,315.1,2.03,1165.0,435.21,67.5,5356.0,4.338,1.055,1
0,1,0,0,48.93786896,140.76639,0.981,6.5868,7240.1,24.19,764.0,80.37,445.7,7066.0,4.094,1.761,0
0,0,0,0,224.7789355,142.095338,0.652,11.1899,3487.5,7.67,333.0,2.92,235.7,5873.0,4.293,1.235,1
0,0,0,0,3.341799486,141.35472,0.426,2.9254,178.2,1.67,1356.0,798.41,48.8,5873.0,4.293,1.235,1
0,1,1,1,19.97867,137.17061,0.923,10.168,944.3,6.85,1351.0,788.02,86.2,9651.0,4.229,1.895,0
0,0,0,0,2.624234833,132.304988,0.781,1.3874,2607.0,5.11,1164.0,434.31,361.1,5340.0,4.514,0.899,1
0,0,0,0,22.65117451,140.337593,0.925,3.6895,2250.0,7.62,855.0,126.57,170.1,6968.0,4.31,1.333,1
0,0,0,0,4.176254191,133.090415,0.715,3.6716,1360.1,3.07,876.0,139.48,249.7,4957.0,4.594,0.776,1
0,0,0,0,102.9641952,158.07473,0.922,15.735,1896.7,39.0,797.0,95.4,86.1,5047.0,3.066,7.119,1
0,1,1,1,8.667822346,137.341841,1.276,4.9658,2121.9,67.37,1303.0,681.39,187.6,6266.0,3.923,1.889,0
0,1,1,0,145.5624926,146.0588,1.274,5.4126,2931.6,40.15,387.0,5.33,58.1,6148.0,4.346,1.095,0
0,0,0,0,4.77800306,124.061465,0.02,2.7361,473.0,1.85,932.0,177.79,115.4,5192.0,4.489,0.873,1
0,0,0,0,9.673958488,125.339418,0.194,3.2641,952.7,2.63,736.0,69.42,178.0,5192.0,4.489,0.873,1
0,0,0,0,42.89645024,146.0613,0.007,5.6897,555.3,2.0,448.0,9.54,66.8,5192.0,4.489,0.873,1
0,0,0,0,14.55730897,145.095012,0.036,7.7643,956.9,4.32,879.0,141.0,200.0,5774.0,4.159,1.412,1
0,0,0,0,8.408878137,134.006366,0.018,3.4967,798.9,2.28,809.0,101.22,147.2,5551.0,4.508,0.812,1
